product_name,quantity,unit,num_prod,presentacion,precio,prod_c
glivec,400.0,mg,30,tableta,39086.27,glivec 400.0 mg 30 tableta
intici,400.0,mg,30,tableta,19763.06,intici 400.0 mg 30 tableta
glivec,100.0,mg,60,tableta,18461.28,glivec 100.0 mg 60 tableta
glivec,400.0,mg,10,tableta,13686.69,glivec 400.0 mg 10 tableta
detepol,100.0,mg,60,tableta,6933.11,detepol 100.0 mg 60 tableta
imatinib,100.0,mg,60,tableta,6264.0,imatinib 100.0 mg 60 tableta
intici,100.0,mg,60,tableta,3463.68,intici 100.0 mg 60 tableta
