product_name,quantity,unit,num_prod,presentacion,precio,prod_c
glivec ,400.0,mg,30,tableta,38250.08,glivec  400.0 mg 30 tableta
intici ,400.0,mg,30,tableta,19764.0,intici  400.0 mg 30 tableta
glivec ,100.0,mg,60,tableta,17689.25,glivec  100.0 mg 60 tableta
glivec ,400.0,mg,10,tableta,13403.6,glivec  400.0 mg 10 tableta
intici ,100.0,mg,60,tableta,9111.0,intici  100.0 mg 60 tableta
detepol ,100.0,mg,60,tableta,8600.0,detepol  100.0 mg 60 tableta
imatinib ,100.0,mg,60,tableta,6264.0,imatinib  100.0 mg 60 tableta
