precio_loc,farmacia,producto,busqueda,hora_consulta,pais,tipo_cambio,precio,farmaca_corto,product_name,num_prod,presentacion,unit,quantity
9550.0,canadianprescriptiondrugstore.com/,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,160121.99,pchecker,calquencia,56,tableta,mg,100.0
8999.99,canadianpharmacystore.com,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,150900.13,pchecker,calquencia,56,capsula,mg,100.0
26944.99,canadianpharmacystore.com,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,451778.56,pchecker,calquencia,168,capsula,mg,100.0
8549.99,discountcanadadrugs.com/,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,143355.12,pchecker,calquencia,56,capsula,mg,100.0
25596.98,discountcanadadrugs.com/,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,429176.88,pchecker,calquencia,168,capsula,mg,100.0
8849.0,pricepropharmacy.com/,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,148368.53,pchecker,calquencia,56,capsula,mg,100.0
9250.0,pricepropharmacy.com/,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,155091.98,pchecker,calquencia,60,capsula,mg,100.0
9775.5,spfpharmacy.com,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,163902.88,pchecker,calquencia,56,tableta,mg,100.0
28350.0,spfpharmacy.com,calquencia,acalabrutinib,13:40:59 22/09/2023,Canada,16.7667,475335.94,pchecker,calquencia,168,tableta,mg,100.0
